Rashomon,"{""Principal Cast"": {""Daisuke Kat\u00f4"": ""Policeman"", ""Kichijir"": ""Commoner"", ""Leslie Daniels"": ""Priest"", ""Machiko Ky\u00f4"": ""Masako Kanazawa"", ""Masayuki Mori"": ""Takehiro Kanazawa"", ""Minoru Chiaki"": ""Priest"", ""Noriko Honma"": ""Medium"", ""Takashi Shimura"": ""Woodcutter"", ""Toshir\u00f4 Mifune"": ""Taj\u00f4maru""}}","""Drama,Mystery,Crime"""
All About Eve,"{""Principal Cast"": {""Anne Baxter"": ""Eve"", ""Barbara Bates"": ""Phoebe"", ""Bette Davis"": ""Margo"", ""Celeste Holm"": ""Karen"", ""Gary Merrill"": ""Bill Simpson"", ""George Sanders"": ""Addison DeWitt"", ""Gregory Ratoff"": ""Max Fabian"", ""Hugh Marlowe"": ""Lloyd Richards"", ""Marilyn Monroe"": ""Miss Casswell"", ""Thelma Ritter"": ""Birdie""}, ""Cast"": {""Barbara White"": ""Autograph Seeker"", ""Craig Hill"": ""Leading Man"", ""Leland Harris"": ""Doorman"", ""Randy Stuart"": ""Girl"", ""Walter Hampden"": ""Aged Actor""}}","""Drama"""
Jules and Jim,"{""Principal Cast"": {""Jeanne Moreau"": ""Catherine"", ""Oskar Werner"": ""Jules""}, ""Cast"": {""Anny Nelsen"": ""Lucie"", ""Bernard Largemain"": ""Merlin"", ""Danielle Bassiak"": ""Albert's Companion"", ""Dominique Lacarri\u00e8re"": ""One Of The Women"", ""Elen Bober"": ""Mathilde"", ""Henri Serre"": ""Jim"", ""Kate Noelle"": ""Birgitta"", ""Marie Dubois"": ""Th"", ""Michel Subor"": ""R"", ""Pierre Fabre"": ""Drunkard In Cafe"", ""Sabine Haudepin"": ""Sabine, La Petite"", ""Serge Rezvani"": ""Albert"", ""Vanna Urbino"": ""Gilberte""}}","""Drama,Romance"""
The Wild Bunch,"{""Principal Cast"": {""Ben Johnson"": ""Tector Gorch"", ""Edmond O'Brien"": ""Freddie Sykes"", ""Emilio Fern\u00e1ndez"": ""Mapache"", ""Ernest Borgnine"": ""Dutch Engstrom"", ""Jaime Sanchez"": ""Angel"", ""L.Q. Jones"": ""T.C"", ""Robert Ryan"": ""Deke Thornton"", ""Strother Martin"": ""Coffer"", ""Warren Oates"": ""Lyle Gorch"", ""William Holden"": ""Pike Bishop""}, ""Cast"": {""Albert Dekker"": ""Harrigan"", ""Bo Hopkins"": ""Crazy Lee"", ""Dub Taylor"": ""Wainscoat"", ""Jorge Russek"": ""Zamorra"", ""Paul Harper"": ""Ross""}}","""Action,Adventure,Western"""
My Left Foot,"{""Principal Cast"": {""Brenda Fricker"": ""Mrs. Brown"", ""Daniel Day-Lewis"": ""Christy Brown""}, ""Cast"": {""Alison Whelan"": ""Sheila"", ""Cyril Cusack"": ""Lord Castlewelland"", ""Declan Croghan"": ""Tom"", ""Derry Power"": ""Customer In Bar"", ""Eanna MacLiam"": ""Benny"", ""Fiona Shaw"": ""Dr. Eileen Cole"", ""Hugh O'Conor"": ""Young Christy Brown"", ""Kirsten Sheridan"": ""Sharon"", ""Marie Conmee"": ""Sadie"", ""Pat Laffan"": ""Barman"", ""Phelim Drew"": ""Brian"", ""Ray McAnally"": ""Mr. Brown"", ""Ruth McCabe"": ""Mary""}}","""Biography,Drama"""
The Third Man,"{""Principal Cast"": {""Alida Valli"": ""Anna Schmidt"", ""Bernard Lee"": ""Sgt. Paine"", ""Erich Ponto"": ""Dr. Winkel"", ""Ernst Deutsch"": ""'Baron' Kurtz"", ""Joseph Cotten"": ""Holly Martins"", ""Orson Welles"": ""Harry Lime"", ""Paul H\u00f6rbiger"": ""Karl - Harry's Porter"", ""Siegfried Breuer"": ""Popescu"", ""Trevor Howard"": ""Maj. Calloway"", ""Wilfrid Hyde-White"": ""Crabbin""}, ""Cast"": {""Harold Ayer"": ""Soldier"", ""Harry Belcher"": ""Man Chasing Holly"", ""Hedwig Bleibtreu"": ""Anna's Old Landlady"", ""Jack Arrow"": ""International Patrol A"", ""Nelly Arno"": ""Kurtz's Mother""}}","""Mystery,Thriller,Film-Noir"""
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"{""Principal Cast"": {""George C. Scott"": ""General 'Buck' Turgidson"", ""Peter Sellers"": ""Group Captain Lionel Mandrake/President Merkin Muffley/Dr. Strangelove""}, ""Cast"": {""Frank Berry"": ""Lieutenant Dietrich"", ""Glenn Beck"": ""Lieutenant Kivel"", ""Hal Galili"": ""Burpelson AFB Defense Team Member"", ""Jack Creley"": ""Mr. Staines"", ""James Earl Jones"": ""Lieutenant Lothar Zogg"", ""Keenan Wynn"": ""Colonel 'Bat' Guano"", ""Peter Bull"": ""Russian Ambassador Alexi De Sadesky"", ""Robert O'Neil"": ""Admiral Randolph"", ""Roy Stephens"": ""Frank"", ""Shane Rimmer"": ""Captain 'Ace' Owens"", ""Slim Pickens"": ""Major 'King' Kong"", ""Sterling Hayden"": ""Brigadier General Jack Ripper"", ""Tracy Reed"": ""Miss Scott""}}","""Thriller,Comedy"""
"Quo Vadis, Aida?","{""Principal Cast"": {""Boris Isakovic"": ""General Ratko Mladic"", ""Boris Ler"": ""Hamdija"", ""Dino Bajrovic"": ""Sejo"", ""Emir Hadzihafizbegovic"": ""Joka"", ""Izudin Bajrovic"": ""Nihad"", ""Jasna Djuricic"": ""Aida Selmanagic"", ""Johan Heldenbergh"": ""Colonel Karremans"", ""Raymond Thiry"": ""Major Franken"", ""Reinout Bussemaker"": ""Colonel Dr. Robben"", ""Teun Luijkx"": ""Captain Mintjes""}, ""Cast"": {""Alban Ukaj"": ""Tarik"", ""Edita Malovcic"": ""Vesna"", ""Ermin Bravo"": ""The Mayor"", ""Jelena Kordic"": ""Chamila"", ""Juda Goslinga"": ""Lieutenant Rutten""}}","""Drama,History,War"""
Gone with the Wind,"{""Principal Cast"": {""Vivien Leigh"": ""Scarlett - Their Daughter""}, ""Cast"": {""Alicia Rhett"": ""India - His Daughter"", ""Ann Rutherford"": ""Carreen - Their Daughter"", ""Barbara O'Neil"": ""Ellen - His Wife"", ""Butterfly McQueen"": ""Prissy - House Servant"", ""Evelyn Keyes"": ""Suellen - Their Daughter"", ""Everett Brown"": ""Big Sam - Field Foreman"", ""Fred Crane"": ""Stuart Tarleton - Scarlett's Beau"", ""George Reeves"": ""Brent Tarleton - Scarlett's Beau"", ""Hattie McDaniel"": ""Mammy - House Servant"", ""Howard C. Hickman"": ""John Wilkes"", ""Leslie Howard"": ""Ashley - His Son"", ""Oscar Polk"": ""Pork - House Servant"", ""Thomas Mitchell"": ""Gerald O'Hara"", ""Victor Jory"": ""Jonas Wilkerson - Field Overseer""}}","""Drama,History,Romance,War"""
"4 Months, 3 Weeks and 2 Days","{""Principal Cast"": {""Anamaria Marinca"": ""Otilia"", ""Vlad Ivanov"": ""Viarel Aka Domnu' Bebe""}, ""Cast"": {""Adi Carauleanu"": ""Dr. Radu - Adi's Father"", ""Alexandru Potocean"": ""Adi Radu"", ""Cerasela Iosifescu"": ""Receptionist Tineretului"", ""Constantin Bojog"": ""Martu"", ""Costica Babu"": ""Tatal Gabitei"", ""Cristina Burbuz"": ""Marie-Jeanne Rusu"", ""Doru Ana"": ""Benzanirul"", ""Eugenia Bos\u00e2nceanu"": ""Domnu' Bebe's Mother"", ""Ion Sapdaru"": ""Dr. Rusu"", ""Laura Vasiliu"": ""Gabriela 'Gabita' Dragut"", ""Liliana Mocanu"": ""Unireal Hotel Receptionist"", ""Luminita Gheorghiu"": ""Gina Radu - Adi's Mother"", ""Marioara Sterian"": ""Adela Racoviceanu"", ""Mihaela Alexandru"": ""Daniela"", ""Monica Alexandrescu"": ""Female Soldier"", ""Tania Popa"": ""Night Receptionist"", ""Teodor Corban"": ""Unireal Hotel Receptionist""}}","""Drama"""
